,Tweet Id,user,location,Tweets
12,1404725970641162253,Plasticsimpact,www.plasticsimpact@gmail.com,Owls class had a great day celebrating 'World Ocean Day'. We talked about why our Oceans are so important and created posters to help people protect the Ocean. We also made our own fish by recycling our plastic bottles! #WorldOceansDay #SaveOurOceans #plasticpollution https://t.co/AJFxB4kVbj
13,1404724771175100417,Plasticsimpact,www.plasticsimpact@gmail.com,"Great Mis Tor really enjoyed World Ocean Day today. They took part in a class debate about the ways in which our oceans are threatened and used recycled plastic to create an ocean with its own sea creature inhabitants! 
#WorldOceanDay #schools #environment #plasticpollution https://t.co/rKF0beuGV1"
14,1404716613581037569,EpiusW,One Zambia,"Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
15,1404700241954103298,herohatta,,"The ocean economy is estimated to grow to $3 trillion per year by 2030. But this priceless natural capital is at risk due to threats like overfishing, plastic pollution, &amp; the destruction of ocean habitats. Here’s what you can do to help: https://t.co/edaIGN6QK6 #WorldOceansDay"
16,1404689824611815430,juliusegolet,kampala,"Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
17,1404688463694229508,MSYadav74079151,Sahabganj ,"Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
18,1404682246250971140,advocacy_tv,,"Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
19,1404666071588560897,Yuvijatt12,"Rajasthan, India","Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
20,1404648107707551744,Pushpen93370426,"Bahraich, India","Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
21,1404646281570521095,AnkithaKottakk5,,"Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
22,1404645795073249282,Upendra26746377,,"Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
23,1404639870056689668,SontakeeSunil,,"Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
24,1404634343893504003,Mazingira_Onlin,"Dar es Salaam, Tanzania","Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
25,1404633891680391174,Dheeren83023199,,"Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
26,1404629278399082496,el_macacosad,,"Its World Ocean Day today.
Lets end the waves of waste.
Lets beat plastic pollution!

 https://t.co/sRwByOEm3r"
27,1404627572856606724,_bingsuwu,weenie hut junior,"Do you sometimes wonder if your personal actions make any difference when it comes to saving the ocean and solving climate change? This is the thread for you. I've been working on creating some visuals to help guide how you can help, in honor of last week's World Ocean Day (1/12) https://t.co/2niL1nZa4x"
28,1404624287630200837,Gurucha44663504,,"Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
29,1404610127643103234,YeshuWatson,भारत,"Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
30,1404585309904457729,EmbajadaSenegal,SENEGAL- Dakar,"Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
31,1404579966491185156,YzarraAntonio,Venezuela,"Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
32,1404554489177255943,TriplePundit,SF & Global,What we've been seeing on our coasts confirms what these researchers say: our #plasticpollution crisis isn't only about ocean gyres... it's all around us 🐳🐳🐳 https://t.co/qTMvZyTLpe by @sabri_roya
33,1404538813842608134,PolyConundrum,Florida & Nova Scotia,"If We Protect Our Ocean, It Can Protect Us: Chair Raul Grijalva (D-AZ) along with 25 original cosponsors has reintroduced the Ocean-Based Climate Solutions Act on World Oceans Day, June 8th,2021. This is the type of visionary bill we need for this moment, https://t.co/dQmFLczbDu https://t.co/EIQ0tLvhUQ"
34,1404538806288719884,InnerSelfcom,Florida & Nova Scotia,"If We Protect Our Ocean, It Can Protect Us: Chair Raul Grijalva (D-AZ) along with 25 original cosponsors has reintroduced the Ocean-Based Climate Solutions Act on World Oceans Day, June 8th,2021. This is the type of visionary bill we need for this moment, https://t.co/4hr3PDI7UU https://t.co/vFRQbzEqqU"
35,1404537890831355905,IngeEco,St Peter's College Adelaide,"The ocean economy is estimated to grow to $3 trillion per year by 2030. But this priceless natural capital is at risk due to threats like overfishing, plastic pollution, &amp; the destruction of ocean habitats. Here’s what you can do to help: https://t.co/edaIGN6QK6 #WorldOceansDay"
36,1404528482173042697,violentina20,"London, England","Its World Ocean Day today.
Lets end the waves of waste.
Lets beat plastic pollution!

 https://t.co/sRwByOEm3r"
37,1404522633371131904,Scarlett2qq,,"Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
38,1404519605175918594,vishalgreat,,"The ocean economy is estimated to grow to $3 trillion per year by 2030. But this priceless natural capital is at risk due to threats like overfishing, plastic pollution, &amp; the destruction of ocean habitats. Here’s what you can do to help: https://t.co/edaIGN6QK6 #WorldOceansDay"
39,1404515494917517313,amirwin13,,"The ocean economy is estimated to grow to $3 trillion per year by 2030. But this priceless natural capital is at risk due to threats like overfishing, plastic pollution, &amp; the destruction of ocean habitats. Here’s what you can do to help: https://t.co/edaIGN6QK6 #WorldOceansDay"
40,1404510896437698562,HassantayMDP,,"The ocean economy is estimated to grow to $3 trillion per year by 2030. But this priceless natural capital is at risk due to threats like overfishing, plastic pollution, &amp; the destruction of ocean habitats. Here’s what you can do to help: https://t.co/edaIGN6QK6 #WorldOceansDay"
41,1404508894198571010,18Nushki,,"Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
42,1404496679903002625,specklight,Lightning Bugs in a Jar,"The ocean economy is estimated to grow to $3 trillion per year by 2030. But this priceless natural capital is at risk due to threats like overfishing, plastic pollution, &amp; the destruction of ocean habitats. Here’s what you can do to help: https://t.co/edaIGN6QK6 #WorldOceansDay"
43,1404491421344731142,steltenpower,"🌍🤝🕸️,Twente,🇪🇺","The ocean economy is estimated to grow to $3 trillion per year by 2030. But this priceless natural capital is at risk due to threats like overfishing, plastic pollution, &amp; the destruction of ocean habitats. Here’s what you can do to help: https://t.co/edaIGN6QK6 #WorldOceansDay"
44,1404485666264735747,natureeconomics,Istanbul- Turkey,"The ocean economy is estimated to grow to $3 trillion per year by 2030. But this priceless natural capital is at risk due to threats like overfishing, plastic pollution, &amp; the destruction of ocean habitats. Here’s what you can do to help: https://t.co/edaIGN6QK6 #WorldOceansDay"
45,1404481558304669701,hendrik_hilton,República de Moçambique,"The ocean economy is estimated to grow to $3 trillion per year by 2030. But this priceless natural capital is at risk due to threats like overfishing, plastic pollution, &amp; the destruction of ocean habitats. Here’s what you can do to help: https://t.co/edaIGN6QK6 #WorldOceansDay"
46,1404475267263893509,TED_Dupree,"Nairobi, Kenya","The ocean economy is estimated to grow to $3 trillion per year by 2030. But this priceless natural capital is at risk due to threats like overfishing, plastic pollution, &amp; the destruction of ocean habitats. Here’s what you can do to help: https://t.co/edaIGN6QK6 #WorldOceansDay"
47,1404474492932526082,AxiosRisk,United States,"The ocean economy is estimated to grow to $3 trillion per year by 2030. But this priceless natural capital is at risk due to threats like overfishing, plastic pollution, &amp; the destruction of ocean habitats. Here’s what you can do to help: https://t.co/edaIGN6QK6 #WorldOceansDay"
48,1404471480079962116,Gandhigiri12,,"The ocean economy is estimated to grow to $3 trillion per year by 2030. But this priceless natural capital is at risk due to threats like overfishing, plastic pollution, &amp; the destruction of ocean habitats. Here’s what you can do to help: https://t.co/edaIGN6QK6 #WorldOceansDay"
49,1404470995046567937,evenspl,,"The ocean economy is estimated to grow to $3 trillion per year by 2030. But this priceless natural capital is at risk due to threats like overfishing, plastic pollution, &amp; the destruction of ocean habitats. Here’s what you can do to help: https://t.co/edaIGN6QK6 #WorldOceansDay"
50,1404470952570744836,Murali_kallur,Chennai,"The ocean economy is estimated to grow to $3 trillion per year by 2030. But this priceless natural capital is at risk due to threats like overfishing, plastic pollution, &amp; the destruction of ocean habitats. Here’s what you can do to help: https://t.co/edaIGN6QK6 #WorldOceansDay"
51,1404470547585462278,ChowaPt,,"The ocean economy is estimated to grow to $3 trillion per year by 2030. But this priceless natural capital is at risk due to threats like overfishing, plastic pollution, &amp; the destruction of ocean habitats. Here’s what you can do to help: https://t.co/edaIGN6QK6 #WorldOceansDay"
52,1404470279972216833,DianaCialino,New Jersey coast,"Today on World Ocean Day, as we enjoy the beautiful beaches in #CA49 and beyond, let’s reaffirm our commitment to healthier ecosystems, cleaner air and water, and less carbon pollution. Together, we can do this! #WorldOceanDay https://t.co/8ZPLATty0M"
53,1404470250062581763,kumar_arahul,Lucknow,"The ocean economy is estimated to grow to $3 trillion per year by 2030. But this priceless natural capital is at risk due to threats like overfishing, plastic pollution, &amp; the destruction of ocean habitats. Here’s what you can do to help: https://t.co/edaIGN6QK6 #WorldOceansDay"
54,1404470058454110214,raviprakash366,"Hyderabad, India","The ocean economy is estimated to grow to $3 trillion per year by 2030. But this priceless natural capital is at risk due to threats like overfishing, plastic pollution, &amp; the destruction of ocean habitats. Here’s what you can do to help: https://t.co/edaIGN6QK6 #WorldOceansDay"
55,1404469931890991112,prateek03387700,,"The ocean economy is estimated to grow to $3 trillion per year by 2030. But this priceless natural capital is at risk due to threats like overfishing, plastic pollution, &amp; the destruction of ocean habitats. Here’s what you can do to help: https://t.co/edaIGN6QK6 #WorldOceansDay"
56,1404469487374503942,tenang2selalu,المدينة WILAYAH PERSEKUTUAN🌐,"The ocean economy is estimated to grow to $3 trillion per year by 2030. But this priceless natural capital is at risk due to threats like overfishing, plastic pollution, &amp; the destruction of ocean habitats. Here’s what you can do to help: https://t.co/edaIGN6QK6 #WorldOceansDay"
57,1404468923626577924,WorldBank,"Washington, DC","The ocean economy is estimated to grow to $3 trillion per year by 2030. But this priceless natural capital is at risk due to threats like overfishing, plastic pollution, &amp; the destruction of ocean habitats. Here’s what you can do to help: https://t.co/edaIGN6QK6 #WorldOceansDay"
58,1404462308336672777,Analisa_Swan,"Los Angeles, CA","Today on World Ocean Day, as we enjoy the beautiful beaches in #CA49 and beyond, let’s reaffirm our commitment to healthier ecosystems, cleaner air and water, and less carbon pollution. Together, we can do this! #WorldOceanDay https://t.co/8ZPLATty0M"
59,1404457532446416896,Nazarloonat,"Lenasia, South Africa","Cape Town - In support of World Oceans Day, Ocean Plastics Technologies (OPT) is promoting innovative processes in the plastic recycling industry.""
https://t.co/JKPPMnT81D"
60,1404455834709598213,RovanZon,Haarlem,"Congrats 2 UK Olympic sailing gold medalist &amp; #ecoathletes Champion Hannah Mills 4 her partnership w/ Ocean, a UK outdoor ad co., 2 push her Big Plastic Pledge on billboards in London, other UK cities on World Oceans Day! https://t.co/xQ0DvtKPMY #ClimateComeback @hannahmills1988 https://t.co/mg0krjruYV"
61,1404455531801157639,AEnriscientist,,"Do you sometimes wonder if your personal actions make any difference when it comes to saving the ocean and solving climate change? This is the thread for you. I've been working on creating some visuals to help guide how you can help, in honor of last week's World Ocean Day (1/12) https://t.co/2niL1nZa4x"
62,1404455408102690818,GreenSportsBlog,New York City,"Congrats 2 UK Olympic sailing gold medalist &amp; #ecoathletes Champion Hannah Mills 4 her partnership w/ Ocean, a UK outdoor ad co., 2 push her Big Plastic Pledge on billboards in London, other UK cities on World Oceans Day! https://t.co/xQ0DvtKPMY #ClimateComeback @hannahmills1988 https://t.co/mg0krjruYV"
63,1404448244424339461,roxy_bautista,,"Every day, huge amounts of plastic waste end up in the world's ocean. Last year, @SAP announced our vision for a plastic-free ocean by 2030. With our portfolio of #sustainability solutions, we want to turn this commitment for a cleaner planet into reality. #WorldOceanDay https://t.co/MQjEkyZgcX"
64,1404440253662826507,MamtaRa98374070,,"Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
65,1404434862723977216,asamper,"Bogota, Colombia","Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
66,1404431391849213956,SINDHUJAKARUNA3,,"Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
67,1404413537833799684,Plasticsimpact,www.plasticsimpact@gmail.com,"❗️Happy World’s Ocean Day 2021❗️

Pacific Islanders are custodians of:
✅Biggest ocean in the world
✅Richest ocean in the world

But threaten by 
🛑Climate Change
🛑Overfishing
🛑 Plastic Pollution

The Ocean is us. Let’s Protect it.
✳️SDG14 ♻️WorkingTogether ♻️PacificOcean https://t.co/G9r6lHpsi4"
68,1404413487837716484,Plasticsimpact,www.plasticsimpact@gmail.com,"World Ocean Day 8 june.
Theme of this year is:
""The Ocran; Life and Livelihoods""
Ocean are cosidered as lungs of the planet
A critical part of the biosphere
a major source of food and medicine

Stop plastic pollution
#saveourocean https://t.co/oPztdE6zgz"
69,1404413048492748803,Plasticsimpact,www.plasticsimpact@gmail.com,Year 3 have been celebrating World Ocean Day - lots of learning about plastic pollution and the consequences of climate change on our oceans. Da iawn pawb 👍 https://t.co/NBehbR2FE4
70,1404412305543110656,Plasticsimpact,www.plasticsimpact@gmail.com,"Its World Ocean Day.
Lets end the waves of waste.
Lets beat plastic pollution!
Save the oceans, save the earth!
#oceanday #worldoceanday2021 https://t.co/NTEfv7foua"
71,1404411759515947018,Plasticsimpact,www.plasticsimpact@gmail.com,🌊 Happy World Ocean Day 🌎 We celebrated with a whole school virtual assembly to help us understand the importance of our oceans. We also looked at the problem and impact of plastic pollution and global warming. Look out for some informative posters in the newsletter this week! https://t.co/Uv2ajmEany
72,1404373877086593028,PiyareLal7,,"Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
73,1404365459819053060,MNReddi_IPS,"Bengaluru, Karnataka","Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
74,1404356828675207168,menbou567_VR, VR,"In celebration of World Oceans Day, we’ve partnered up with @Clearbothk to redefine ocean clean-up with a fully automated robot that detects and collects marine plastic waste. Learn about our commitment to sustainability here: https://t.co/alUb5dTr4J

#GoGreenWithRazer https://t.co/G1XKqKYevK"
75,1404351582938927104,Ganeshk08467566,,"Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
76,1404345736595075078,yudana_iwayan,Denpasar ,"Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
77,1404334063977107456,drinksco_UK,Barcelona,"🧜‍♀️ Dive into the world of Mermaid Gin! 

🎁Hand-crafted on the Isle of Wight using ten ethically sourced botanicals and presented in beautiful plastic-free packaging, Mermaid gin makes a gorgeous gift. 👇

https://t.co/v8DHnwdDCf 

#WorldOceansDay #MermaidGin #IsleOfWight https://t.co/kQXUyfyXBc"
78,1404324989705211907,Callaniytw4,,"Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
79,1404321176164257796,allyahmedmoosa,,"Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
80,1404320772877787138,kumar_aliyush,"Patna, India","Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
81,1404310843613876228,InuShibha,,"Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
82,1404303018753806339,SubhraKantiRoy4,,"Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
83,1404296573400457216,agussari,"ÜT: -6.212443,106.809278","Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
84,1404296443376988160,DasDas16131179,,"Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
85,1404295843373408261,Alaysiay2g1z,,"Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
86,1404290012171030532,PofficialQ,,"Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
87,1404283655527096320,RahulRa40260401,,"Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
88,1404271280245903368,MolpackCorp,"Corregimiento Tocumen, Panamá","Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
89,1404265997951934466,LeayLuke,,"Dryer climates, stronger storms and rising sea levels could destroy the sites. https://t.co/gUhZzXOWCs"
90,1404249230814842881,Canadianworker2,Canada,"@Kenneth72712993 @jimdtweet @IanDJbrown2 @GuyGadboisGuyG1 @SniemN @RobMeekel @TheDisproof @revetje @RijpeW @MedBennett @rln_nelson @HalBrow68884227 @Fiddlers__Green @Narvuntien @0Sundance @WayneAllanH @DawnTJ90 @Tcaddy5 @All_Day_SCIfi @MikeDel21893959 @ClimateCatastr3 @StormSignalSA @KimmoTorikka @Cole44749821 @IngersolRobert @robinlarder @JohnFerris62 @WiswordBrasil @bArtbow @BridgetHolmstro @Glylick @Barbarajdurkin @nportocarero @DickMackintosh @Climatehope2 @no2wind @BywatersRobert @Climate_Takes @AristotleMrs @richardwakelin3 @Sander_1954 @PMatist @imbalaska @gourlay_maurice @mentalmal1 @BenMaughan4 @ArthurBraby @Circular_Logic_ @TinTincognito @TroyCramp69 It was a vibrant ocean covered, river flowing part of the world at one point."
91,1404233984909877248,FiliTui,,"Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
92,1404216682692808710,Davionxnj4,,"Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
93,1404213320790515714,1560gl,"Morgantown, WV","June 8th is World Ocean Day! Celebrate with @gosiliproducts' one day sale, BOGO50! By 2050, there will be more plastic in the oceans than there are fish. That’s why we are on a mission to reuse, waste less and clean up our oceans! https://t.co/ac3isHO7oA https://t.co/q394oBBhO9"
94,1404196774605049857,lillibet_marie,Antipodes,World Ocean Day 2021: This is how climate change may alter 10 of the world's natural wonders. This list could go into the 1000’s if it was properly international - https://t.co/zozSp1aBaa
95,1404196528785301506,askoltu,"Brussels, Belgium","Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
96,1404190292065071104,arress83,Michigan ,"June 8th is World Ocean Day! Celebrate with @gosiliproducts' one day sale, BOGO50! By 2050, there will be more plastic in the oceans than there are fish. That’s why we are on a mission to reuse, waste less and clean up our oceans! https://t.co/ac3isHO7oA https://t.co/q394oBBhO9"
97,1404173566262849541,BothakgaTv,Africa,"Today it's actually World Ocean Day, the joy that comes with being next to the ocean 🌊 is priceless, hence its important for us to take care of our beaches by making sure they have #ZeroPlastic 🌅🏖️

You can #ProtectParadise here: https://t.co/QbhPLdlDrY https://t.co/fybHpyBT8V"
98,1404171633623977984,KyambileWinfred,Tanzania,"Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
99,1404170864627576833,shaebaan,Maldives,"Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
100,1404168037343842310,MLBinWA,Arizona/Serbia,"""The METRO Plastic Intitiative, launched today, on World Ocean's Day, June 8th, will work with suppliers and millions of customers across 24 countries, with the aim to prevent plastic bottles from entering our oceans,..."" https://t.co/mYod4NZALz"
101,1404165680363192321,astroastraa,ℨ𝔢𝔱𝔞 ℜ𝔢𝔱𝔦𝔠𝔲𝔩𝔞𝔫𝔰,"Dryer climates, stronger storms and rising sea levels could destroy the sites. https://t.co/wTHtHWyYES"
102,1404163408472195072,anniegreenthumb,Barbados,"Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
103,1404158275038453761,Masky_Jay_Hoody,,"Dryer climates, stronger storms and rising sea levels could destroy the sites. https://t.co/gUhZzXOWCs"
104,1404155274110193665,wrightannm,Los Angeles,"Plastic is forever. Ocean life is not.

This #WorldOceanDay let's remind ourselves of the majesty of the ocean, and how we can work together to end #plasticpollution. @WorldOceansDay https://t.co/fyDhA4AAt0"
105,1404147842927706124,CySust,Cyprus,"Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
106,1404137014413438976,Trazlersgal,"iPhone: 0.000000,0.000000",#WorldOceanDay2021: This is how #climatechange may alter 10 of the world's natural wonders - ABC News - https://t.co/PXoU3UZR22 via @ABC
